Feature,Importance
commentissuejaccard_sim,2165.1505777835846
commentissuecos_sim,2153.4153356552124
cmtjaccard_sim_mean,2106.9464704990387
isscos_mean,1812.0799429416656
commentissuejaccard_sim_mean,1739.5120649337769
commentissuecos_sim_mean,1721.935406923294
issjaccard_sim_mean,1715.8976130485535
prcos_mean,1602.0544438362122
cmtcos_mean,1591.9442546367645
cmtcos_sim,1535.3074634075165
prjaccard_sim_mean,1523.427523612976
cmtjaccard_sim,1424.8157622814178
issjaccard_sim,1333.9108514785767
isscos_sim,1303.321840763092
solvedisscos_mean,1258.7749795913696
solvedissjaccard_sim_mean,1178.0004172325134
prjaccard_sim,1150.821610212326
solvedisscos_sim,1145.3753209114075
prcos_sim,1121.001531124115
prreviewcos_sim_mean,1037.2715179920197
solvedissjaccard_sim,777.2218208312988
prreviewjaccard_sim,745.2428028583527
prreviewjaccard_sim_mean,717.1375308036804
lan_sim,707.2411985397339
prreviewcos_sim,607.8629896640778
commentissuelabel_sum,215.64081811904907
solvedissuelabel_ratio,195.687518119812
issuelabel_ratio,164.71196222305298
commentissuelabel_ratio,146.76801204681396
solvedissuelabel_sum,81.34945106506348
issuelabel_sum,68.19824028015137
prlabel_ratio,56.14138960838318
prlabel_sum,0.0
