Feature,Importance
LengthOfDescription,5066.841315984726
issuesen,4236.915210485458
coleman_liau_index,4172.556410074234
automated_readability_index,3979.6496136188507
flesch_kincaid_grade,3699.7806153297424
flesch_reading_ease,3655.615657567978
LengthOfTitle,2482.3433158397675
NumOfUrls,1550.121060371399
labelnum,856.9968421459198
NumOfCode,845.0044000148773
gfilabelnum,566.0472269058228
buglabelnum,159.55384993553162
NumOfPics,158.8156111240387
triagedlabelnum,108.50531053543091
doclabelnum,66.16272974014282
majorlabelnum,64.54146957397461
mediumlabelnum,48.86482000350952
enhancelabelnum,45.57157897949219
featurelabelnum,45.21552896499634
testlabelnum,36.10783886909485
codinglabelnum,16.924460411071777
buildlabelnum,11.239890098571777
untriagedlabelnum,3.400909900665283
