Feature,Importance
LengthOfDescription,1935.423574924469
pro_gfi_ratio,1839.3540301322937
rpt_max_stars_commit,1768.4851965904236
rptcmt,1718.5296592712402
rptiss,1669.8815217018127
rptallcmt,1626.295283317566
openiss,1539.1558079719543
issuesen,1501.2355370521545
rptpr,1253.6406254768372
pro_star,1237.3987183570862
flesch_kincaid_grade,1210.989405632019
coleman_liau_index,1169.635627746582
openissratio,1164.5130043029785
gfilabelnum,1159.1086111068726
rpt_gfi_ratio,1155.0996956825256
flesch_reading_ease,1117.0759873390198
contributornum,1024.832269191742
issjaccard_sim_mean,1000.0485663414001
commentissuecos_sim_mean,984.2081050872803
commentissuejaccard_sim,979.6420331001282
procos_sim,960.1228933334351
cmtcos_mean,912.7806115150452
rptpronum,879.4296960830688
commentissuejaccard_sim_mean,873.4947786331177
readmecos_sim_mean,870.9345526695251
LengthOfTitle,854.9534182548523
rptalliss,812.6202120780945
procmt,774.4804301261902
automated_readability_index,772.0333909988403
pro_gfi_num,767.9489483833313
solvedissjaccard_sim,767.3787088394165
commentissuecos_sim,756.6954278945923
rpt_max_stars_issue,732.4983592033386
crtclsissnum,727.3037614822388
isscos_mean,718.1826300621033
solvedisscos_mean,700.6286182403564
prjaccard_sim_mean,693.5341730117798
proclspr,639.5221538543701
issjaccard_sim,637.5424389839172
isscos_sim,634.6703863143921
prjaccard_sim,614.1804094314575
procos_mean,598.7198066711426
prcos_mean,570.3538389205933
NumOfUrls,491.91844367980957
cmtcos_sim,449.7025423049927
solvedisscos_sim,446.6306381225586
cmtjaccard_sim_mean,433.12304735183716
readmecos_sim,420.2101197242737
prcos_sim,410.462278842926
projaccard_mean,395.2978024482727
NumOfCode,386.706166267395
solvedissjaccard_sim_mean,385.26418685913086
cmtjaccard_sim,371.06009006500244
projaccard_sim,289.18101263046265
prreviewcos_sim_mean,228.30945777893066
prreviewcos_sim,208.566641330719
prreviewjaccard_sim_mean,204.9464077949524
lan_sim,201.1907901763916
labelnum,173.98934841156006
commentissuelabel_ratio,110.24325895309448
solvedissuelabel_ratio,109.6559009552002
prostopic_ratio,107.16646194458008
ownerpr,94.15640068054199
prreviewjaccard_sim,62.61079978942871
prostopic_sum,60.75243091583252
issuelabel_ratio,59.42129993438721
commentissuelabel_sum,40.99779033660889
enhancelabelnum,30.96690082550049
doclabelnum,30.486639499664307
majorlabelnum,29.24370002746582
solvedissuelabel_sum,26.438800811767578
NumOfPics,23.741549968719482
mediumlabelnum,22.665289878845215
prlabel_sum,11.443009853363037
testlabelnum,11.160900115966797
buglabelnum,9.770709991455078
owner_gfi_ratio,7.6526899337768555
featurelabelnum,6.994009971618652
prlabel_ratio,6.747369766235352
issuelabel_sum,5.345779895782471
owner_max_stars_issue,0.0
owner_max_stars_commit,0.0
owner_max_stars_review,0.0
owner_reviews_num_all,0.0
ownerallpr,0.0
owneralliss,0.0
ownerallcmt,0.0
ownerpronum,0.0
owneriss,0.0
owner_max_stars_pull,0.0
buildlabelnum,0.0
ownercmt,0.0
rptisnew,0.0
rpt_max_stars_review,0.0
rpt_max_stars_pull,0.0
rpt_reviews_num_all,0.0
rptallpr,0.0
untriagedlabelnum,0.0
triagedlabelnum,0.0
codinglabelnum,0.0
readmejaccard_sim,0.0
readmejaccard_sim_mean,0.0
owner_gfi_num,0.0
