Feature,Importance
commentissuejaccard_sim,1952.2871713638306
commentissuecos_sim,1797.5326328277588
commentissuejaccard_sim_mean,1743.1524195671082
commentissuecos_sim_mean,1731.8982758522034
cmtcos_mean,1727.8703355789185
issjaccard_sim_mean,1542.2017483711243
isscos_mean,1420.9501700401306
cmtjaccard_sim_mean,1392.4450578689575
issjaccard_sim,1296.7693247795105
prcos_mean,1282.682547569275
prjaccard_sim_mean,1279.85551071167
isscos_sim,1248.6489553451538
cmtjaccard_sim,1187.4715828895569
prcos_sim,1093.4355301856995
readmecos_sim_mean,969.5418684482574
solvedissjaccard_sim_mean,932.1969709396362
prjaccard_sim,912.5893495082855
cmtcos_sim,892.0728726387024
clsissuesenmean,817.3865094184875
solvedisscos_sim,792.3603322505951
clsissuesenmedian,788.5512297153473
solvedisscos_mean,765.5954270362854
clspronum,686.3990340232849
procos_mean,653.453938961029
clsprsenmean,651.1346983909607
solvedissjaccard_sim,565.3538932800293
readmecos_sim,511.83107233047485
prreviewcos_sim_mean,451.8302803039551
procos_sim,450.0004086494446
projaccard_mean,449.20115089416504
prreviewjaccard_sim_mean,416.22323989868164
projaccard_sim,407.01501178741455
clsprsenmedian,405.6141335964203
prreviewcos_sim,378.49344205856323
clsonemonth_cmt,364.9490303993225
clsallcmt,302.0230669975281
prreviewjaccard_sim,279.54216957092285
lan_sim,271.245530128479
clsonemonth_iss,263.2960205078125
clsiss,213.29168128967285
commentissuelabel_sum,179.06578159332275
clstwomonth_cmt,170.82162857055664
solvedissuelabel_ratio,157.8659520149231
clsthreemonth_cmt,146.3659701347351
issuelabel_ratio,145.17611861228943
clstwomonth_iss,123.05140829086304
clsonemonth_pr,96.65614080429077
issuelabel_sum,95.01010036468506
clstwomonth_pr,94.51611137390137
prostopic_ratio,94.50803136825562
clsalliss,71.97727966308594
clsthreemonth_iss,68.28495836257935
clsallprreview,63.53291988372803
clsthreemonth_pr,47.244110107421875
prlabel_ratio,46.766860485076904
prostopic_sum,32.226550579071045
clsallpr,29.566389560699463
commentissuelabel_ratio,22.618590354919434
solvedissuelabel_sum,18.39024066925049
prlabel_sum,11.5978102684021
readmejaccard_sim_mean,0.0
readmejaccard_sim,0.0
