Feature,Importance
LengthOfDescription,2281.44584608078
rptcmt,2255.0289511680603
rpt_max_stars_commit,2144.277821779251
rptiss,1983.5655496120453
clsiss,1859.9017190933228
pro_gfi_ratio,1833.0300135612488
openissratio,1783.0509128570557
rptallcmt,1723.748031616211
flesch_kincaid_grade,1620.4346342086792
rptpr,1619.8425161838531
flesch_reading_ease,1582.7236800193787
coleman_liau_index,1557.744341135025
openiss,1540.5593972206116
issuesen,1476.0434589385986
contributornum,1406.857210636139
rptpronum,1360.2277824878693
pro_star,1301.0146787166595
clsallcmt,1216.1872024536133
clspronum,1206.7794380187988
pro_gfi_num,1198.2680850028992
crtclsissnum,1192.9261403083801
gfilabelnum,1091.9751777648926
automated_readability_index,1007.5103673934937
LengthOfTitle,986.2866201400757
rpt_gfi_ratio,962.8264422416687
procmt,890.2684907913208
proclspr,834.9611032009125
clsprsenmean,775.3159868717194
NumOfUrls,745.0453159809113
rpt_max_stars_issue,692.4979290962219
rptalliss,668.9452886581421
clsissuesenmean,568.671591758728
clsissuesenmedian,504.8194193840027
clsalliss,495.02635526657104
clsallpr,432.89746856689453
clsonemonth_cmt,319.4958395957947
clsthreemonth_cmt,296.37758684158325
NumOfCode,290.4653172492981
clsprsenmedian,262.8901789188385
clstwomonth_iss,219.00211811065674
clsthreemonth_iss,217.71838855743408
clsallprreview,206.60495901107788
clsonemonth_iss,202.95823907852173
clstwomonth_cmt,183.39645051956177
ownerpr,182.61349868774414
clstwomonth_pr,182.32750749588013
clsonemonth_pr,180.68347120285034
labelnum,171.615149974823
clsthreemonth_pr,67.07149887084961
testlabelnum,50.26710033416748
NumOfPics,48.97449040412903
buglabelnum,43.47051024436951
doclabelnum,27.483139038085938
mediumlabelnum,18.391730308532715
featurelabelnum,16.529579639434814
enhancelabelnum,13.28892993927002
majorlabelnum,11.235099792480469
rptisnew,10.034299850463867
ownercmt,4.2187700271606445
owner_gfi_ratio,0.0
owneralliss,0.0
owner_max_stars_review,0.0
ownerallpr,0.0
owner_reviews_num_all,0.0
ownerallcmt,0.0
owner_max_stars_issue,0.0
owner_max_stars_pull,0.0
owner_max_stars_commit,0.0
rpt_max_stars_review,0.0
ownerpronum,0.0
owneriss,0.0
rpt_max_stars_pull,0.0
rpt_reviews_num_all,0.0
rptallpr,0.0
buildlabelnum,0.0
codinglabelnum,0.0
triagedlabelnum,0.0
untriagedlabelnum,0.0
owner_gfi_num,0.0
