Feature,Importance
pro_gfi_ratio,3080.594747066498
rpt_max_stars_commit,3044.2377989292145
openissratio,3034.203429222107
rptpr,2459.363771677017
openiss,2386.2576973438263
rptallcmt,2337.425475358963
rptiss,2302.410029411316
contributornum,2099.4830248355865
pro_gfi_num,1958.8127191066742
rptpronum,1779.0617625713348
rptcmt,1737.800534248352
pro_star,1685.3131017684937
rpt_gfi_ratio,1504.0610582828522
proclspr,1504.006816148758
crtclsissnum,1475.3719372749329
procmt,1387.0604751110077
rptalliss,1364.404928445816
rpt_max_stars_issue,968.8281798362732
ownerpr,71.12539863586426
ownercmt,11.068399906158447
rpt_reviews_num_all,0.0
ownerallpr,0.0
owner_gfi_ratio,0.0
owner_max_stars_review,0.0
owner_max_stars_pull,0.0
owner_max_stars_issue,0.0
owner_max_stars_commit,0.0
owner_reviews_num_all,0.0
ownerallcmt,0.0
owneralliss,0.0
rpt_max_stars_pull,0.0
ownerpronum,0.0
owneriss,0.0
rptallpr,0.0
rptisnew,0.0
rpt_max_stars_review,0.0
owner_gfi_num,0.0
