Feature,Importance,Definition
rptcmt,2204.1984033584595,Reporter's number of commits
rpt_max_stars_commit,2127.658308029175,Maximum stars of repositories where the reporter made commits
LengthOfDescription,2102.4643862247467,Length of the issue description
pro_gfi_ratio,1750.141132593155,Ratio of good first issues in the project
clsiss,1668.9765043258667,Number of issues opened by the candidate
rptiss,1662.6415433883667,Number of issues opened by the reporter
issuesen,1478.6354975700378,Sentiment score of the issue
coleman_liau_index,1428.4924182891846,Readability index based on Coleman-Liau formula
openissratio,1385.7879095077515,Ratio of open issues in the project
rptpr,1377.4133410453796,Number of pull requests submitted by the reporter
rptallcmt,1298.9705605506897,Total number of commits made by the reporter across all projects
openiss,1222.297375679016,Number of open issues in the project
rpt_gfi_ratio,1212.7558546066284,Ratio of good first issues reported by the reporter
gfilabelnum,1150.0049848556519,Number of "good first issue" labels
flesch_kincaid_grade,1076.3973712921143,Readability score based on Flesch-Kincaid grade formula
commentissuecos_sim_mean,1034.3074297904968,Mean cosine similarity between candidate's comments and issues
pro_star,983.6088404655457,Number of stars of the project
rptpronum,952.4368944168091,Number of projects the reporter contributed to
proclspr,936.9386143684387,Number of pull requests made by the candidate to the project
issjaccard_sim_mean,934.3160820007324,Mean Jaccard similarity between candidate's issues and the current issue
flesch_reading_ease,917.1443071365356,Flesch reading ease score for readability
clsallcmt,843.2895474433899,Total number of commits made by the candidate across all projects
rptalliss,809.9861044883728,Total number of issues opened by the reporter across all projects
procmt,802.4992620944977,Number of commits to the project
automated_readability_index,771.310408115387,Automated readability index score
commentissuejaccard_sim_mean,760.8727097511292,Mean Jaccard similarity between candidate's comments and issues
cmtcos_mean,760.5468702316284,Mean cosine similarity between candidate's commits
clspronum,756.3654627799988,Number of projects the candidate contributed to
commentissuecos_sim,747.9656481742859,Cosine similarity between candidate's comments and the issue
pro_gfi_num,745.5297603607178,Number of good first issues in the project
LengthOfTitle,732.79580950737,Length of the issue title
readmecos_sim_mean,725.2047390937805,Mean cosine similarity between readme and issues
solvedisscos_mean,673.2206888198853,Mean cosine similarity among issues solved by the candidate
contributornum,653.5465703010559,Number of contributors to the project
rpt_max_stars_issue,645.7146244049072,Maximum stars of repositories where the reporter created issues
isscos_mean,623.7643623352051,Mean cosine similarity among issues
commentissuejaccard_sim,607.5227808952332,Jaccard similarity between candidate's comments and the issue
prcos_mean,552.3884994983673,Mean cosine similarity among pull requests
crtclsissnum,531.7376389503479,Number of critical issues solved by the candidate
procos_sim,530.4524080753326,Cosine similarity of project features
issjaccard_sim,528.100507736206,Jaccard similarity between issues
solvedissjaccard_sim,517.9254655838013,Jaccard similarity between solved issues
NumOfUrls,517.8023767471313,Number of URLs in the issue description
prjaccard_sim_mean,515.162015914917,Mean Jaccard similarity among pull requests
isscos_sim,472.81608605384827,Cosine similarity between issues
solvedisscos_sim,444.84679222106934,Cosine similarity between solved issues
prcos_sim,413.39940071105957,Cosine similarity between pull requests
prjaccard_sim,404.5716481208801,Jaccard similarity between pull requests
readmecos_sim,400.5346417427063,Cosine similarity between readme and the issue
NumOfCode,385.7375168800354,Number of code blocks in the issue description
cmtjaccard_sim_mean,384.067862033844,Mean Jaccard similarity among commits
clsprsenmean,373.3117356300354,Mean sentiment score in the candidate's pull requests
procos_mean,372.33601474761963,Mean cosine similarity of project features
solvedissjaccard_sim_mean,367.2808403968811,Mean Jaccard similarity among issues solved by the candidate
clsissuesenmedian,344.1112198829651,Median sentiment score in the candidate's issues
cmtcos_sim,326.2192225456238,Cosine similarity between commits
cmtjaccard_sim,314.1194176673889,Jaccard similarity between commits
projaccard_mean,308.3259496688843,Mean Jaccard similarity of project features
clsissuesenmean,274.03521180152893,Mean sentiment score in the candidate's issues
clsonemonth_cmt,217.43221950531006,Candidate's number of commits in the last month
clsprsenmedian,200.4211015701294,Median sentiment score in the candidate's pull requests
clstwomonth_cmt,186.5781388282776,Candidate's number of commits in the last two months
lan_sim,155.40759134292603,Language similarity between the candidate's expertise and the issue
clstwomonth_iss,146.70065116882324,Candidate's number of issues in the last two months
